Name,Symbol,Price,Market Cap,24h Volume,24h Price Change (%)
bitcoin,btc,106149.0,2105542755345,125364773710,2.74647
ethereum,eth,4056.08,489143393599,52273053975,3.80776
ripple,xrp,2.48,142109981016,14206085010,2.86366
tether,usdt,0.999587,140276392642,142581987757,0.02044
binancecoin,bnb,726.26,106109324028,1753474256,1.12416
solana,sol,217.45,104214349258,6854123541,-1.60257
dogecoin,doge,0.404804,59678642660,4952515267,0.53705
usd-coin,usdc,0.999431,42480488165,15168094809,-0.04245
staked-ether,steth,4049.44,39688996022,175315482,3.78869
cardano,ada,1.1,39555962809,1868375253,1.54194
tron,trx,0.29808,25708138639,2463663440,4.78324
avalanche-2,avax,49.98,20482768267,1083525871,-0.62169
chainlink,link,29.42,18457886607,3350419981,1.64579
wrapped-steth,wsteth,4806.89,16917223993,196678630,3.79206
shiba-inu,shib,2.749e-05,16212404010,1030311458,-0.67359
the-open-network,ton,6.11,15600846877,614047245,-4.46266
wrapped-bitcoin,wbtc,106083.0,14409862501,652149897,3.2877
sui,sui,4.71,13803100548,2403914926,-2.22466
polkadot,dot,8.94,13628394138,783405335,0.16402
stellar,xlm,0.426372,12887129093,751927928,-0.2375
weth,weth,4061.6,10997207541,478081332,4.00904
hedera-hashgraph,hbar,0.285877,10934027586,1001765206,-2.11959
bitcoin-cash,bch,545.75,10816372525,542362177,1.48876
pepe,pepe,2.396e-05,10104853840,3600524370,0.85902
uniswap,uni,16.76,10063986973,930649137,-0.33342
hyperliquid,hype,27.69,9149276933,352543774,17.26334
litecoin,ltc,120.2,9069681272,1333014529,0.80258
leo-token,leo,9.6,8872516713,1770139,2.05471
near,near,6.74,8213656232,609595550,-0.63304
aptos,apt,14.09,7834146675,710750467,4.14313
wrapped-eeth,weeth,4278.88,7759616632,19544091,3.81205
internet-computer,icp,12.9,6156874867,326624433,-0.48884
ethena-usde,usde,1.0,5921519331,149952892,-0.04442
aave,aave,392.66,5900623198,1908460466,6.98864
usds,usds,0.998879,5235182787,16434876,-0.13901
ethereum-classic,etc,33.96,5097086878,677784490,3.01441
polygon-ecosystem-token,pol,0.602523,5061540893,260472465,-1.05596
crypto-com-chain,cro,0.175825,4772362568,47078872,-0.48781
bitget-token,bgb,3.4,4761093696,268131064,11.70657
render-token,render,9.07,4697609282,330967988,-1.45986
vechain,vet,0.056514,4576792163,202992991,-2.35787
fetch-ai,fet,1.75,4561522855,520947046,-1.66715
arbitrum,arb,1.026,4207837640,1077717927,2.53181
mantle,mnt,1.23,4144437731,151103191,-0.22225
filecoin,fil,6.69,4093149720,558635670,1.07249
bittensor,tao,550.83,4074062986,246441216,-3.00907
monero,xmr,212.11,3918038895,158005233,-3.00031
fantom,ftm,1.39,3900154754,956042536,0.30387
kaspa,kas,0.150518,3823124409,205212862,-3.87993
mantra-dao,om,4.04,3820550119,199871676,3.9859
blockstack,stx,2.46,3706738755,600447934,2.33783
whitebit,wbt,25.15,3627908452,35206212,0.14414
cosmos,atom,8.99,3512296556,399572841,-0.76878
algorand,algo,0.419881,3496205647,406232136,-0.94144
optimism,op,2.57,3473152126,682307442,2.11559
ethena,ena,1.18,3472980870,1106194744,1.80284
dai,dai,0.999047,3413079681,179411585,-0.06407
okb,okb,53.61,3218628879,12050959,-1.29618
virtual-protocol,virtual,3.12,3127664236,523993509,17.28862
immutable-x,imx,1.84,3112545601,133520643,0.06068
celestia,tia,6.76,3074579860,323995717,-1.69044
ondo-finance,ondo,2.05,2967038675,963452975,8.33958
injective-protocol,inj,29.1,2847075875,240874087,3.7332
bonk,bonk,3.673e-05,2787899974,521343127,0.93564
dogwifcoin,wif,2.77,2772912111,668056474,-2.3076
theta-token,theta,2.76,2760601306,103561738,2.04452
the-graph,grt,0.281779,2691064349,169672935,-0.34497
solana-swap,sos,3.82,2504517900,1050505,-2.08494
binance-peg-weth,weth,4058.54,2457377158,110900241,3.95377
thorchain,rune,7.05,2425298779,644495292,10.78655
sei-network,sei,0.573714,2421734641,284174642,-3.29428
worldcoin-wld,wld,2.96,2308201987,675751988,-2.27947
floki,floki,0.0002293,2217175556,550776539,-0.19075
jasmycoin,jasmy,0.04493829,2175912193,396485984,-1.19452
coinbase-wrapped-btc,cbbtc,106499.0,2162266304,581783991,3.24046
gala,gala,0.04962655,2083560466,392157324,-1.37733
lido-dao,ldo,2.32,2082860389,533010713,1.1648
rocket-pool-eth,reth,4548.03,2059183201,12023587,3.80441
kelp-dao-restaked-eth,rseth,4186.7,2040910302,5404887,4.17926
quant-network,qnt,134.7,1964123750,69939568,-4.18292
mantle-staked-ether,meth,4267.36,1883943216,26421728,3.99345
first-digital-usd,fdusd,0.998331,1853394787,8208514358,-0.00979
the-sandbox,sand,0.736698,1790659494,465096817,-0.63505
pyth-network,pyth,0.486459,1771724314,247596550,4.97459
beam-2,beam,0.03339094,1756957519,120276041,-4.54777
maker,mkr,1930.69,1722234351,229213542,-0.93271
gatechain-token,gt,13.48,1696112025,8895804,0.16369
based-brett,brett,0.166621,1655780354,96574965,-0.78293
flare-networks,flr,0.03007941,1649259789,24376506,-0.27414
eos,eos,1.068,1620672965,309036337,0.33868
helium,hnt,9.23,1614384790,72206956,-0.23965
kaia,kaia,0.272667,1598252111,97909289,-7.65836
tokenize-xchange,tkx,19.39,1551601640,23544085,6.07492
dydx-chain,dydx,2.18,1544849703,116686752,1.65963
renzo-restaked-eth,ezeth,4171.69,1529174894,8134789,3.93004
ethereum-name-service,ens,45.87,1524921036,1415270464,5.09753
lombard-staked-btc,lbtc,106763.0,1512282251,2778774,3.55557
tezos,xtz,1.48,1507745944,257163542,-0.41931
raydium,ray,5.17,1502714581,149687588,-3.05383
nexo,nexo,1.48,1485364332,13944354,0.49304
